Service Category 1;Category;Subcategory;Project/Program Name;Multi-Year Capital Budgets - Previously Approved;Multi-Year Capital Budgets – 2021;Multi-Year Capital Budgets - Total Open Project Budget;Annual Capital Expenditure Budgets – 2021;Annual Capital Expenditure Budgets – 2022 Forecast;Annual Capital Expenditure Budgets – 2023 Forecast;Annual Capital Expenditure Budgets – 2024 Forecast;Annual Capital Expenditure Budgets – 2025 Forecast
Renewable Energy;SEFC NEU;Distribution;Neighbourhood Energy Utility (NEU) Flood-Related Repairs/Upgrades;700000.0;0.0;700000.0;400000.0;0.0;0.0;0.0;0.0
Renewable Energy;SEFC NEU;Distribution;New Neighbourhood Energy Utility (NEU) Service Connections & Energy Transfer Station's;4146000.0;0.0;4146000.0;520000.0;1867980.0;0.0;0.0;0.0
Renewable Energy;SEFC NEU;Planning;Neighbourhood Energy Utility (NEU) System Planning;711000.0;600000.0;1311000.0;600000.0;0.0;0.0;0.0;0.0
Renewable Energy;EV Infrastructure;EV Infrastructure;Climate Emergency Response - Electric Vehicle Charging Station Deployment;0.0;500000.0;500000.0;500000.0;0.0;0.0;0.0;0.0
Renewable Energy;Building Retrofits;Building Retrofits;Deep Emission Building Retrofits Program;5600000.0;6000000.0;11600000.0;10063766.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 Asset Works (Fleet) Upgrades;30000.0;30000.0;60000.0;30000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 Enterprise Search Strategy;100000.0;0.0;100000.0;70000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 Geographic Information System (GIS) Strategic Roadmap Implementation;1795000.0;0.0;1795000.0;285000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 IT Infrastructure Maintenance, Upgrades & Expansion - Vancouver Police Department;0.0;2500000.0;2500000.0;2500000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 Parking Enforcement Upgrades;80000.0;0.0;80000.0;52000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 POSSE Upgrade;1229477.0;0.0;1229477.0;677477.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 Technology Services Business Projects;9540000.0;5000000.0;14540000.0;8677513.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 Technology Services Capital Resource Pool;1352000.0;500000.0;1852000.0;500000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;2019-2022 VanDocs Upgrades;41000.0;20000.0;61000.0;20000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;Enterprise Service Management;1344000.0;722000.0;2066000.0;722000.0;0.0;0.0;0.0;0.0
Technology;Technology;Technology;Sharepoint Deployment;390000.0;11986.0;401986.0;22986.0;0.0;0.0;0.0;0.0
Overhead;Overhead;Overhead;2019-2022 City-Wide Overhead - Pacific National Exhibition Hastings Park;650000.0;190000.0;840000.0;190000.0;0.0;0.0;0.0;0.0
Overhead;Overhead;Overhead;2019-2022 Finance Project Management Office (PMO);1600000.0;800000.0;2400000.0;800000.0;0.0;0.0;0.0;0.0
